archetype,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,protagonist_validation,n_observations,n_transition_events,elapsed_s
production_heavy,702003,held_out,23509.0,7587.0,15922.0,1,PARTIAL,719,190,6.21
production_heavy,702004,held_out,24756.0,13986.0,10770.0,1,PARTIAL,719,191,6.06
production_heavy,702005,held_out,21452.0,14873.0,6579.0,1,PARTIAL,719,204,6.14
market_selling,702000,held_out,28284.0,6801.0,21483.0,1,PARTIAL,719,185,5.92
market_selling,702001,held_out,26620.0,1304.0,25316.0,1,PARTIAL,719,205,5.9
market_selling,702002,held_out,28279.0,2765.0,25514.0,1,PARTIAL,719,200,7.03
market_selling,702003,held_out,29483.0,967.0,28516.0,1,PARTIAL,719,195,6.36
market_selling,702004,held_out,30715.0,7596.0,23119.0,1,PARTIAL,719,191,5.81
market_selling,702005,held_out,28390.0,5759.0,22631.0,1,PARTIAL,719,218,5.82
expansion_oriented,702000,held_out,4174.0,16033.0,-11859.0,0,PARTIAL,719,197,5.02
expansion_oriented,702001,held_out,4015.0,16113.0,-12098.0,0,PARTIAL,719,196,5.03
expansion_oriented,702002,held_out,3802.0,16178.0,-12376.0,0,PARTIAL,719,192,5.09
expansion_oriented,702003,held_out,3783.0,16113.0,-12330.0,0,PARTIAL,719,194,5.11
expansion_oriented,702004,held_out,3347.0,16033.0,-12686.0,0,PARTIAL,719,197,5.2
expansion_oriented,702005,held_out,3745.0,16348.0,-12603.0,0,PARTIAL,719,191,5.05
animal_oriented,702000,held_out,27014.0,11281.0,15733.0,1,PARTIAL,719,613,5.45
animal_oriented,702001,held_out,28741.0,11418.0,17323.0,1,PARTIAL,719,588,5.24
animal_oriented,702002,held_out,28568.0,10599.0,17969.0,1,PARTIAL,719,613,5.51
animal_oriented,702003,held_out,28147.0,11866.0,16281.0,1,PARTIAL,719,613,5.33
animal_oriented,702004,held_out,26855.0,11065.0,15790.0,1,PARTIAL,719,613,5.46
animal_oriented,702005,held_out,28254.0,11497.0,16757.0,1,PARTIAL,719,613,5.4
conservative,702000,held_out,27978.0,6075.0,21903.0,1,PARTIAL,719,461,4.54
conservative,702001,held_out,28877.0,5717.0,23160.0,1,PARTIAL,719,461,4.6
conservative,702002,held_out,28349.0,6016.0,22333.0,1,PARTIAL,719,461,4.68
conservative,702003,held_out,28595.0,4911.0,23684.0,1,PARTIAL,719,437,4.65
conservative,702004,held_out,27787.0,5048.0,22739.0,1,PARTIAL,719,461,4.42
conservative,702005,held_out,27862.0,6530.0,21332.0,1,PARTIAL,719,461,4.41
aggressive_investment,702000,held_out,14683.0,1082.0,13601.0,1,PARTIAL,719,245,6.03
aggressive_investment,702001,held_out,13690.0,1588.0,12102.0,1,PARTIAL,719,233,5.87
aggressive_investment,702002,held_out,6519.0,10578.0,-4059.0,0,PARTIAL,719,250,5.98
aggressive_investment,702003,held_out,15088.0,1318.0,13770.0,1,PARTIAL,719,251,5.85
aggressive_investment,702004,held_out,16229.0,1249.0,14980.0,1,PARTIAL,719,251,6.01
aggressive_investment,702005,held_out,14348.0,1096.0,13252.0,1,PARTIAL,719,238,6.54
