stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,animals_placed,animals_escaped,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102100,102100,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5949.0,2949.0,4449.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9639,0.3458,0.2458,1,694.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102101,102101,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,6067.0,3067.0,4567.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9625,0.3458,0.2458,1,714.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102102,102102,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5923.0,2923.0,4423.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,729.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102103,102103,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,4894.0,1894.0,3394.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,834.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102104,102104,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5471.0,2471.0,3971.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,782.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102105,102105,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5639.0,2639.0,4139.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9625,0.3458,0.2458,1,761.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102106,102106,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5855.0,2855.0,4355.0,1500,0,0,0,0,0,0,"{""WHEAT"": 137}",{},0,0,0,1,0.9625,0.3458,0.2458,1,710.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102107,102107,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5003.0,2003.0,3503.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,827.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102108,102108,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5071.0,2071.0,3571.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,823.0,PASS,0
D,h2h_a1_labor_sweep,labor_WHEAT_0h,labor_WHEAT_0h_seed102109,102109,agents/baseline_agent.py,"{""crops"": ""WHEAT"", ""n_hands"": 0}",3000.0,5448.0,2448.0,3948.0,1500,0,0,0,0,0,0,"{""WHEAT"": 138}",{},0,0,0,1,0.9611,0.3458,0.2458,1,779.0,PASS,0
