stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200206,200206,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,26099.0,23099.0,35889.7326,8240,150,1000,2400,1000.7327,0,0.0,"{""STRAWBERRY"": 56, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",177,202.7669,88,2,0.9341,0.5752,0.3589,1,23099.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200207,200207,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,27114.0,24114.0,36156.9412,7940,150,1000,2100,852.9413,0,0.0,"{""STRAWBERRY"": 54, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",181,199.7621,88,2,0.9337,0.5914,0.3574,1,24114.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200200,200200,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,3805.0,805.0,12188.8788,7340,153,1000,1800,1090.8787,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 20}",98,124.3763,89,2,0.9435,0.5962,0.3418,1,805.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200201,200201,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,10.0,-2990.0,9879.88,8100,153,1000,3100,516.88,0,0.0,"{""STRAWBERRY"": 55, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 5}",74,133.5119,89,2,0.9276,0.595,0.3558,0,-2990.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200202,200202,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,43.0,-2957.0,7628.0,7520,146,1000,1400,519.0,0,0.0,"{""STRAWBERRY"": 59, ""MELON"": 114}","{""COW"": 1, ""GOOSE"": 8}",76,100.3684,85,2,0.9198,0.5916,0.4169,0,-2957.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200203,200203,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,4011.0,1011.0,13502.5261,7860,153,1000,2400,1078.5261,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 10}",91,148.3794,89,2,0.9398,0.5893,0.3472,1,1011.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200204,200204,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,2436.0,-564.0,10936.7794,7780,153,1000,1800,767.7794,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 114}","{""COW"": 8, ""GOOSE"": 16}",93,117.5998,89,2,0.9383,0.5918,0.4028,0,-564.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200205,200205,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,2220.0,-780.0,10813.4183,7720,153,1000,1800,920.4183,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 19}",94,115.0364,89,2,0.9409,0.5959,0.3737,0,-780.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200206,200206,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,1977.0,-1023.0,11797.2028,8240,150,1000,2400,1030.2029,0,0.0,"{""STRAWBERRY"": 56, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",86,137.1768,88,2,0.9341,0.5752,0.3586,0,-1023.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.3_safetyoff,d1_threshold_1.3_safetyoff_seed200207,200207,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.3}}",3000.0,1275.0,-1725.0,10305.9527,7940,150,1000,2100,840.9527,0,0.0,"{""STRAWBERRY"": 54, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",84,122.6899,88,2,0.9337,0.5914,0.3566,0,-1725.0,PASS,0
