candidate,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,total_revenue,total_cost,melon_harvested,market_activations,scaling_activations,animal_response_activations,elapsed_s
D_naive_price,expansion_oriented,702003,held_out,4745.0,17856.0,-13111.0,0,11063.8265,9318.8265,55,1,0,0,4.17
E_diversified,expansion_oriented,702003,held_out,11713.0,22225.0,-10512.0,0,14205.0,5492.0,0,1,0,0,4.22
AB_submission_C,expansion_oriented,702004,held_out,26589.0,22260.0,4329.0,1,32829.718,9240.718,0,1,0,0,3.96
C_market_impact,expansion_oriented,702004,held_out,11147.0,17776.0,-6629.0,0,18399.1353,10252.1353,55,1,0,0,3.95
D_naive_price,expansion_oriented,702004,held_out,4466.0,17776.0,-13310.0,0,10696.2966,9230.2966,55,1,0,0,3.97
E_diversified,expansion_oriented,702004,held_out,11094.0,22260.0,-11166.0,0,13586.0,5492.0,0,1,0,0,4.0
AB_submission_C,expansion_oriented,702005,held_out,24243.0,21961.0,2282.0,1,30231.064,8988.064,0,1,0,0,3.93
C_market_impact,expansion_oriented,702005,held_out,12459.0,18080.0,-5621.0,0,19855.6564,10396.6564,55,1,0,0,4.05
D_naive_price,expansion_oriented,702005,held_out,5940.0,18080.0,-12140.0,0,12323.5336,9383.5336,55,1,0,0,4.2
E_diversified,expansion_oriented,702005,held_out,11365.0,21983.0,-10618.0,0,13857.0,5492.0,0,1,0,0,4.11
AB_submission_C,passive,700000,non_target,27800.0,3000.0,24800.0,1,34178.846,9378.846,157,0,0,0,3.01
C_market_impact,passive,700000,non_target,27800.0,3000.0,24800.0,1,34178.846,9378.846,157,0,0,0,3.1
AB_submission_C,passive,701000,non_target,27962.0,3000.0,24962.0,1,34268.1801,9306.1801,157,0,0,0,3.19
C_market_impact,passive,701000,non_target,27962.0,3000.0,24962.0,1,34268.1801,9306.1801,157,0,0,0,3.06
AB_submission_C,production_heavy,700000,non_target,22379.0,10630.0,11749.0,1,28645.9481,9266.9481,157,0,0,0,4.49
C_market_impact,production_heavy,700000,non_target,22379.0,10630.0,11749.0,1,28645.9481,9266.9481,157,0,0,0,4.48
AB_submission_C,production_heavy,701000,non_target,23846.0,13435.0,10411.0,1,30991.9711,10145.9712,214,0,0,0,4.46
C_market_impact,production_heavy,701000,non_target,23846.0,13435.0,10411.0,1,30991.9711,10145.9712,214,0,0,0,4.51
AB_submission_C,market_selling,700000,non_target,28304.0,4580.0,23724.0,1,34569.0104,9265.0104,157,0,0,0,4.48
C_market_impact,market_selling,700000,non_target,28304.0,4580.0,23724.0,1,34569.0104,9265.0104,157,0,0,0,4.64
AB_submission_C,market_selling,701000,non_target,29805.0,7580.0,22225.0,1,36358.2752,9553.2752,214,0,0,0,4.64
C_market_impact,market_selling,701000,non_target,29805.0,7580.0,22225.0,1,36358.2752,9553.2752,214,0,0,0,4.67
AB_submission_C,animal_oriented,700000,non_target,28055.0,10885.0,17170.0,1,34257.6949,9202.6949,157,0,0,0,4.24
C_market_impact,animal_oriented,700000,non_target,28055.0,10885.0,17170.0,1,34257.6949,9202.6949,157,0,0,0,4.23
AB_submission_C,animal_oriented,701000,non_target,27058.0,10424.0,16634.0,1,33267.9661,9209.9661,157,0,0,0,4.21
C_market_impact,animal_oriented,701000,non_target,27058.0,10424.0,16634.0,1,33267.9661,9209.9661,157,0,0,0,4.2
AB_submission_C,conservative,700000,non_target,27870.0,6493.0,21377.0,1,34176.652,9306.652,157,0,0,0,3.53
C_market_impact,conservative,700000,non_target,27870.0,6493.0,21377.0,1,34176.652,9306.652,157,0,0,0,3.51
AB_submission_C,conservative,701000,non_target,27938.0,6114.0,21824.0,1,34175.5481,9237.5481,157,0,0,0,3.54
C_market_impact,conservative,701000,non_target,27938.0,6114.0,21824.0,1,34175.5481,9237.5481,157,0,0,0,3.59
AB_submission_C,aggressive_investment,700000,non_target,7677.0,9059.0,-1382.0,0,14446.9353,9769.9353,157,0,0,0,4.67
C_market_impact,aggressive_investment,700000,non_target,7677.0,9059.0,-1382.0,0,14446.9353,9769.9353,157,0,0,0,4.65
AB_submission_C,aggressive_investment,701000,non_target,14822.0,973.0,13849.0,1,21314.9318,9492.9318,214,0,0,0,4.74
C_market_impact,aggressive_investment,701000,non_target,14822.0,973.0,13849.0,1,21314.9318,9492.9318,214,0,0,0,4.76
